sentence,image_1,image_2,label_image1,label_image2
boy swim on the water,"[0.19113168120384216, 0.038067132234573364, -0.6072012186050415, 0.2863146662712097, -0.24339237809181213, 0.0006950115785002708, -0.02569608949124813, -0.2550024390220642, -0.11920848488807678, -0.4624953269958496, -0.3900883197784424, 0.6490035057067871, 0.05077754706144333, 0.10096022486686707, -0.4507080018520355, 0.39395803213119507]","[0.3786718547344208, -0.15097124874591827, -0.1980145126581192, 0.13489559292793274, -0.07229317724704742, -0.5735529661178589, 0.19477280974388123, -0.2510611116886139, -0.2765127718448639, -0.22190560400485992, -0.5970350503921509, 0.14398591220378876, -0.0017207097262144089, -0.10258755087852478, -0.5900338888168335, 0.15448831021785736]",0,1
A man runs through water.,"[0.3767614960670471, -0.21442054212093353, -0.2527560591697693, 0.0380115807056427, 0.003595292568206787, -0.7152423858642578, 0.22177675366401672, -0.002856222912669182, -0.05552525818347931, -0.19320838153362274, -0.3316476345062256, 0.25301122665405273, -0.029047919437289238, -0.15163536369800568, 0.1215522512793541, 0.32805344462394714]","[0.5144583582878113, 0.12476629763841629, -0.17036235332489014, 0.07512843608856201, -0.04918539524078369, -0.2372632473707199, 0.09666412323713303, 0.06667777895927429, 0.050869330763816833, -0.3012596666812897, 0.2959098815917969, -0.0035264790058135986, -0.04957899451255798, 0.28225836157798767, -0.921922504901886, 0.05057321488857269]",0,1
A person walks through water.,"[0.3677407205104828, -0.14105601608753204, -0.2182396650314331, 0.3954584002494812, -0.13311836123466492, -0.4865853786468506, 0.2114049196243286, -0.2494860142469406, -0.25065693259239197, -0.18074317276477814, -0.07504557073116302, 0.15983346104621887, -0.3740808367729187, 0.010647067800164223, -0.4258144199848175, 0.2681960463523865]","[0.009513918310403824, -0.07635448127985, -0.3538416922092438, 0.06337665766477585, -0.025781989097595215, -0.3651431202888489, 0.5613999962806702, -0.27016910910606384, -0.13550467789173126, -0.5314741134643555, 0.013004675507545471, 0.2801421880722046, -0.05519641190767288, 0.3658720552921295, -0.2948148250579834, 0.17693227529525757]",0,1
A child run with another Child in the water,"[0.6875647306442261, -0.3755323886871338, -0.33031484484672546, 0.01781568117439747, -0.15436586737632751, -0.42897218465805054, 0.6535620093345642, -0.03306830674409866, -0.23674383759498596, -0.3390277922153473, -0.49381667375564575, 0.20960812270641327, -0.0955895334482193, 0.2867114841938019, -0.10927020758390427, 0.1828606128692627]","[0.2625952661037445, -0.15877272188663483, -0.3068583607673645, 0.3200795352458954, -0.28927382826805115, -0.5250371694564819, -0.016828453168272972, -0.512813150882721, 0.3005271852016449, -0.10958722233772278, -0.20470793545246124, 0.16439399123191833, -0.45503705739974976, -0.04586503654718399, -0.6122332215309143, 0.006308542564511299]",0,1
A man runs on water.,"[0.2501905858516693, -0.13247035443782806, -0.48503488302230835, 0.32690489292144775, -0.28330084681510925, -0.36631760001182556, 0.23468495905399323, 0.37142419815063477, 0.011099500581622124, -0.4292755722999573, -0.0859057754278183, 0.18794798851013184, -0.20119987428188324, 0.4965854585170746, -0.20492437481880188, 0.2026849240064621]","[0.2625952661037445, -0.15877272188663483, -0.3068583607673645, 0.3200795352458954, -0.28927382826805115, -0.5250371694564819, -0.016828453168272972, -0.512813150882721, 0.3005271852016449, -0.10958722233772278, -0.20470793545246124, 0.16439399123191833, -0.45503705739974976, -0.04586503654718399, -0.6122332215309143, 0.006308542564511299]",0,1
A child is running in the water.,"[0.3865962326526642, -0.23712578415870667, -0.345707505941391, 0.06675507128238678, -0.2408146858215332, -0.5711674094200134, 0.31163716316223145, 0.08537975698709488, -0.05267082154750824, 0.0161930862814188, -0.0355311781167984, -0.11322994530200958, -0.08086951822042465, 0.088846355676651, -0.5501881241798401, 0.20160576701164246]","[0.7016385197639465, 0.03546341508626938, -0.26824235916137695, 0.3796720802783966, -0.15091949701309204, -0.5407131314277649, 0.10247082263231277, 0.08955670893192291, -0.04754339158535004, -0.30703631043434143, -0.08093498647212982, -0.012044120579957962, 0.27334028482437134, 0.050318680703639984, -0.539776623249054, 0.17775417864322662]",0,1
A person walks along some shallow water.,"[0.2792622745037079, 0.12141839414834976, -0.2782793641090393, 0.2558213472366333, 0.2605365514755249, -0.21309778094291687, 0.05557658523321152, -0.024351848289370537, -0.17481881380081177, -0.3196149468421936, -0.23195333778858185, -0.15846237540245056, -0.268915593624115, 0.3442886173725128, -0.11709164828062057, 0.33824265003204346]","[0.9784929752349854, -0.012497881427407265, -0.24095933139324188, -0.0023157987743616104, -0.4587939381599426, 0.032354481518268585, 0.06995785981416702, -0.07372027635574341, 0.08222512900829315, -0.21979445219039917, -0.17790700495243073, 0.3653564453125, -0.1379498392343521, 0.18833397328853607, -0.8812375068664551, 0.38488122820854187]",0,1
A woman walks in water.,"[0.8245127201080322, -0.30916425585746765, -0.38856399059295654, 0.00707000307738781, 0.24968549609184265, -0.5338398218154907, 0.15917131304740906, -0.1922602504491806, 0.21186116337776184, -0.6195152401924133, -0.04293076694011688, 0.4117937684059143, -0.14526964724063873, -0.006899459287524223, -0.13172052800655365, 0.15873219072818756]","[0.3677407205104828, -0.14105601608753204, -0.2182396650314331, 0.3954584002494812, -0.13311836123466492, -0.4865853786468506, 0.2114049196243286, -0.2494860142469406, -0.25065693259239197, -0.18074317276477814, -0.07504557073116302, 0.15983346104621887, -0.3740808367729187, 0.010647067800164223, -0.4258144199848175, 0.2681960463523865]",0,1
A child run with another Child in the water,"[0.6875647306442261, -0.3755323886871338, -0.33031484484672546, 0.01781568117439747, -0.15436586737632751, -0.42897218465805054, 0.6535620093345642, -0.03306830674409866, -0.23674383759498596, -0.3390277922153473, -0.49381667375564575, 0.20960812270641327, -0.0955895334482193, 0.2867114841938019, -0.10927020758390427, 0.1828606128692627]","[0.7592921257019043, -0.1869458705186844, -0.3216465413570404, 0.16299887001514435, -0.19836190342903137, -0.2916747033596039, 0.08207293599843979, -0.11069215834140778, -0.445003867149353, -0.5813919901847839, 0.43994617462158203, 0.14563946425914764, -0.21749365329742432, 0.06166395545005798, -1.0277862548828125, 0.3008493483066559]",0,1
A mother holds a girl.,"[0.4021068513393402, 0.007887979969382286, -0.5515017509460449, 0.048962123692035675, -0.3421488404273987, 0.28197479248046875, 0.5091849565505981, 0.38065046072006226, -0.3310674726963043, -0.5105380415916443, -0.3920630216598511, 0.26542505621910095, -0.15335826575756073, 0.2975665032863617, -0.6147519946098328, -0.004904044792056084]","[0.42983478307724, -0.2637931704521179, 0.012576553970575333, -0.21812085807323456, -0.7535766363143921, -0.03243564814329147, 0.1772536039352417, 0.22380118072032928, -0.1836085170507431, -0.2578609585762024, -0.2483546882867813, 0.10030081868171692, -0.36387768387794495, 0.379316121339798, -0.2842824161052704, 0.25222426652908325]",0,1
mother walks on beach,"[0.4934256970882416, -0.20374658703804016, -0.27843672037124634, 0.2857758104801178, -0.49895763397216797, -0.3579692542552948, 0.2770480811595917, -0.0490749329328537, -0.16315780580043793, -0.48836231231689453, 0.20589302480220795, 0.38882553577423096, -0.1806516796350479, 0.2638394236564636, -0.1699679046869278, 0.2540053427219391]","[0.8305479884147644, -0.2333379089832306, 0.02556440606713295, 0.02649991773068905, -0.024393796920776367, -0.7251026630401611, 0.08765541762113571, -0.11224225163459778, -0.3030639588832855, -0.5954113602638245, 0.14711108803749084, 0.1917761117219925, -0.27871766686439514, 0.5535721778869629, -0.7287086844444275, 0.3692185580730438]",0,1
a mother holds her child,"[0.3168989419937134, -0.1281379610300064, -0.4769105315208435, 0.49532243609428406, -0.38635948300361633, -0.2607712745666504, 0.593457043170929, -0.04167081415653229, -0.3555437922477722, -0.2947554290294647, 0.020539209246635437, 0.14595277607440948, -0.40682950615882874, 0.30765455961227417, -0.3416956961154938, -0.01087070070207119]","[0.4419764578342438, -0.13740763068199158, 0.20100177824497223, 0.18322235345840454, -0.33319371938705444, -0.6762704849243164, 0.37335413694381714, -0.1307746022939682, 0.0668361708521843, -0.5343837141990662, 0.6485768556594849, -0.33906054496765137, 0.38124898076057434, -0.06321753561496735, -0.5996660590171814, 0.030201734974980354]",0,1
A mother and child run on the beach.,"[0.6404690742492676, -0.2455284595489502, -0.4333946108818054, 0.042553529143333435, -0.1008313000202179, -0.32869842648506165, 0.4626176953315735, 0.1778857558965683, -0.23788569867610931, -0.3973330855369568, -0.14800168573856354, 0.19340212643146515, -0.04920940101146698, 0.13803699612617493, -0.46352121233940125, 0.07960735261440277]","[0.3481809198856354, 0.012538215145468712, -0.5461087226867676, 0.04185958951711655, -0.14727962017059326, -0.17465636134147644, 0.5370541214942932, 0.10925659537315369, -0.20724906027317047, -0.4493233859539032, -0.2450980693101883, 0.3895350992679596, -0.06970334053039551, 0.043163180351257324, -0.4391513764858246, 0.30370861291885376]",0,1
A woman sits on a chair.,"[0.5211538672447205, 0.2480756640434265, -0.6151048541069031, 0.4117206335067749, -0.031869009137153625, -0.05510726571083069, 0.328582763671875, -0.2394014149904251, 0.12460341304540634, -0.4281313121318817, -0.36654019355773926, -0.2610236406326294, -0.12127685546875, 0.24225810170173645, -0.45750245451927185, 0.08143351972103119]","[0.39800235629081726, 0.16299086809158325, -0.36973297595977783, 0.4739076793193817, -0.17686641216278076, -0.3584192097187042, 0.5661354660987854, -0.24632315337657928, 0.02845301665365696, -0.7680320143699646, -0.05032648146152496, -0.031453605741262436, -0.12818270921707153, 0.43685027956962585, -0.10981035977602005, -0.21553613245487213]",0,1
A woman stands near some trees.,"[0.6531482934951782, -0.4988650679588318, -0.26025938987731934, 0.26475170254707336, -0.10710562020540237, 0.001649300567805767, 0.0016079489141702652, -0.09478538483381271, -0.03972496837377548, -0.4732999801635742, -0.24159635603427887, -0.1048213541507721, -0.04432069510221481, 0.5011911392211914, -0.5759882926940918, 0.318069189786911]","[0.3629266321659088, -0.035576678812503815, -0.4357048571109772, 0.28007736802101135, -0.27024227380752563, -0.0045005688443779945, 0.07059315592050552, -0.06846024096012115, -0.22825001180171967, -0.569837212562561, -0.4492177367210388, 0.1981014907360077, -0.33707311749458313, 0.1548311561346054, -0.353580117225647, 0.2681253254413605]",0,1
A woman walks through the meadow.,"[0.7358110547065735, -0.18368643522262573, -0.0574081651866436, 0.15759196877479553, 0.09043306112289429, -0.6263961791992188, 0.06638125330209732, 0.04683627188205719, 0.0666208565235138, -0.7668240070343018, -0.06344866752624512, -0.0969536155462265, 0.141631618142128, 0.4405476152896881, -0.7349653840065002, -0.21764244139194489]","[0.41905635595321655, -0.21250489354133606, -0.4831579923629761, -0.13560441136360168, -0.06831234693527222, -0.5196795463562012, 0.36839228868484497, -0.01565655879676342, -0.07672428339719772, -0.5734841227531433, 0.04465098679065704, -0.020947936922311783, 0.40009358525276184, 0.09445658326148987, -0.5324311256408691, -0.04842960834503174]",0,1
A dog sitting in a meadow.,"[0.6745498776435852, -0.3200051784515381, 0.0033823437988758087, -0.17232944071292877, -0.7833675742149353, -0.14686128497123718, 0.1774638444185257, -0.07470715045928955, -0.5415078997612, -0.06798770278692245, -0.13915006816387177, 0.12844546139240265, 0.14917419850826263, 0.23148858547210693, -0.40802568197250366, 0.014836030080914497]","[0.4663850963115692, -0.11947637051343918, -0.5160669088363647, 0.07073022425174713, -0.37782132625579834, -0.6298855543136597, -0.03883657604455948, -0.10117989033460617, -0.1157870888710022, -0.28510019183158875, 0.3928234577178955, -0.023232553154230118, -0.3478865325450897, 0.1899110972881317, -0.52297043800354, 0.22201938927173615]",0,1
A girl is sitting in the meadow.,"[0.5718784332275391, -0.09990917891263962, 0.04716740921139717, -0.10744332522153854, -0.13651004433631897, 0.29293742775917053, 0.21459509432315826, 0.07864832878112793, 0.148064985871315, -0.5621247291564941, -0.07614491879940033, 0.1701083779335022, 0.28545263409614563, 0.3380945026874542, -0.09708976000547409, 0.2607788145542145]","[0.17112921178340912, 0.06747379153966904, -0.7522674202919006, 0.563692569732666, -0.188005268573761, 0.1593400090932846, 0.7467719912528992, -0.06025465577840805, 0.0024038683623075485, -0.6908573508262634, -0.08787231147289276, -0.05589113011956215, -0.30675965547561646, 0.2499788999557495, -0.11749871075153351, 0.1544627994298935]",0,1
A boy runs near the sea.,"[0.46058472990989685, -0.28539785742759705, -0.26298630237579346, 0.34378087520599365, -0.0856192409992218, -0.21541926264762878, 0.22845053672790527, -0.23584537208080292, -0.04730331152677536, -0.3861536383628845, 0.07136048376560211, 0.28288114070892334, -0.5702114701271057, 0.12409403920173645, -0.06893935054540634, 0.44524863362312317]","[0.38146188855171204, 0.05911620706319809, -0.17511458694934845, 0.3082774579524994, 0.13127973675727844, -0.44964513182640076, 0.22627219557762146, 0.07715629041194916, -0.2506701648235321, -0.3733556866645813, -0.22613069415092468, 0.21535660326480865, -0.23449353873729706, 0.4709324240684509, -0.3088618516921997, 0.17812007665634155]",0,1
A WOMAN STANDS IN THE SHORE,"[0.26146891713142395, -0.15757794678211212, -0.42665231227874756, 0.15498356521129608, -0.4715324640274048, -0.46996039152145386, 0.333661288022995, 0.09603537619113922, 0.1068309098482132, -0.46763890981674194, -0.24655471742153168, 0.17872469127178192, 0.06585142016410828, 0.10687637329101562, -0.5707690715789795, 0.3524087369441986]","[0.1404828429222107, -0.20178504288196564, -0.37972232699394226, 0.3508060872554779, -0.1523132026195526, -0.33257871866226196, 0.6321887373924255, -0.1858055144548416, -0.010800780728459358, -0.5095074772834778, -0.3138102889060974, 0.13105320930480957, -0.06474912166595459, 0.32984599471092224, -0.11188382655382156, 0.09251487255096436]",0,1
The man is sitting near the shore.,"[0.24172385036945343, -0.25574371218681335, -0.3183302879333496, 0.21169447898864746, -0.1353374719619751, -0.06842290610074997, 0.5847007632255554, -0.042279914021492004, 0.09551171958446503, -0.24048684537410736, -0.1326749473810196, -0.017441928386688232, -0.14546433091163635, 0.39643555879592896, -0.14707809686660767, 0.06424969434738159]","[0.37877124547958374, -0.44132480025291443, -0.0897902399301529, 0.43147146701812744, 0.07965841889381409, -0.3054262697696686, 0.5829708576202393, -0.05445942282676697, -0.283087819814682, -0.5016910433769226, -0.2727447748184204, 0.2789023220539093, 0.1616496741771698, 0.25559869408607483, -0.09209596365690231, 0.2563420236110687]",0,1
A couple walking on the shore.,"[0.32456403970718384, -0.05617823451757431, -0.2969496548175812, 0.2536521255970001, -0.25124359130859375, -0.2897646725177765, 0.4543003737926483, -0.23394356667995453, -0.1868627816438675, -0.42261824011802673, 0.13446329534053802, 0.08668555319309235, -0.29461076855659485, 0.2712157666683197, -0.048116542398929596, 0.31536370515823364]","[0.7445008754730225, -0.274490624666214, -0.22587889432907104, -0.03264608234167099, -0.11182120442390442, -0.5286934971809387, 0.11800124496221542, -0.4104655981063843, 0.08166079223155975, -0.49016082286834717, -0.3249374032020569, 0.42695483565330505, -0.17117144167423248, 0.35576319694519043, -0.1369244009256363, 0.1559089869260788]",0,1
A man walks on the shore.,"[0.39796182513237, -0.24098265171051025, -0.4101998209953308, 0.2102874219417572, -0.058506906032562256, -0.48276373744010925, 0.593100905418396, -0.07005693018436432, -0.11959046125411987, -0.46320024132728577, -0.22836990654468536, 0.16276174783706665, -0.01651875488460064, -0.03564751148223877, -0.14266188442707062, 0.05855071544647217]","[0.8737702965736389, 0.07915497571229935, -0.3436131775379181, 0.19390058517456055, -0.05842617154121399, -0.35099419951438904, 0.4020099937915802, -0.2862670123577118, -0.05647142231464386, -0.21538785099983215, -0.10409189760684967, -0.07092015445232391, -0.08311102539300919, 0.28397074341773987, 0.13887785375118256, 0.24671711027622223]",0,1
The man sits by the shore.,"[0.28420552611351013, -0.2201651930809021, -0.5430631041526794, 0.3003673851490021, 0.1360580027103424, -0.46081075072288513, 0.763090193271637, -0.10579261183738708, -0.03945334255695343, -0.61626136302948, -0.17077137529850006, 0.3801288902759552, 0.3136845827102661, -0.28221389651298523, -0.35071465373039246, 0.2916480004787445]","[0.37818410992622375, -0.23368479311466217, -0.4636608958244324, 0.0920843556523323, -0.07391571998596191, -0.05070947855710983, 0.667869508266449, -0.15021632611751556, -0.022753292694687843, -0.6131486892700195, -0.2930545210838318, 0.20098236203193665, -0.012026665732264519, 0.4159848392009735, 0.0010004881769418716, 0.19060353934764862]",0,1
A person runs on the street,"[0.40103739500045776, -0.1001044437289238, -0.526698112487793, 0.23722350597381592, -0.3235614001750946, -0.24109764397144318, 0.27803704142570496, -0.020148402079939842, 0.12486805021762848, -0.5090997219085693, -0.06027756631374359, 0.04615841433405876, 0.24394908547401428, 0.3018474578857422, -0.6397165060043335, 0.19251757860183716]","[0.37869754433631897, -4.2418017983436584e-05, -0.25831136107444763, 0.2382863610982895, -0.2813243865966797, -0.4384503662586212, -0.25272440910339355, 0.1738692969083786, -0.26270952820777893, -0.795877993106842, 0.10091015696525574, 0.09342247247695923, -0.09847099334001541, 0.11805513501167297, -0.3282204568386078, 0.2800725996494293]",0,1
A person stands by a lake.,"[0.32529309391975403, -0.3812878727912903, -0.4274899363517761, 0.07927168905735016, 0.0763988047838211, -0.2072206735610962, 0.29042327404022217, -0.7562293410301208, -0.46383044123649597, -0.49762043356895447, -0.29311245679855347, 0.24372078478336334, -0.06015823036432266, 0.6202839016914368, -0.49499788880348206, 0.25106972455978394]","[0.39714109897613525, -0.2969418466091156, -0.753125011920929, 0.3425903916358948, -0.23180454969406128, 0.19245079159736633, 0.3574661612510681, -0.34373965859413147, -0.034375451505184174, -0.7267795205116272, -0.11916805803775787, 0.5680273771286011, -0.20114047825336456, 0.35843175649642944, -0.5612152218818665, 0.5024930238723755]",0,1
A couple runs on the beach,"[0.5269139409065247, 0.07338350266218185, -0.3295753002166748, 0.1974523365497589, 0.14517712593078613, -0.6655606031417847, 0.33113378286361694, 0.05144195258617401, -0.06846025586128235, -0.3382687270641327, -0.06423433125019073, 0.005425475537776947, -0.09115108847618103, 0.12772050499916077, -0.20756138861179352, 0.10465942323207855]","[0.41887080669403076, -0.04398827999830246, -0.03254004940390587, 0.458444207906723, 0.07987551391124725, -0.4300279915332794, 0.5438591837882996, -0.004921315237879753, -0.2709902822971344, -0.40619122982025146, -0.13985873758792877, -0.2553113102912903, -0.1869087964296341, 0.3505963385105133, -0.5174715518951416, -0.04550279676914215]",0,1
The couple runs on the beach.,"[0.7830715179443359, 0.038541339337825775, -0.13430766761302948, 0.3685658574104309, -0.04403185844421387, -0.22382749617099762, -0.04196900874376297, 0.2256278693675995, -0.38554564118385315, -0.4566897749900818, 0.006844773888587952, -0.05423739179968834, -0.0006314050406217575, 0.40768882632255554, 0.024434322491288185, 0.3487900495529175]","[0.652076244354248, -0.2399561107158661, -0.24588404595851898, 0.22734855115413666, -0.29743120074272156, -0.24487648904323578, 0.2581397294998169, 0.11457622051239014, -0.09410656988620758, -0.2054934948682785, -0.27149152755737305, 0.20484675467014313, -0.23701418936252594, 0.13910582661628723, -0.47766879200935364, 0.3433203399181366]",0,1
A couple goes for a walk in a park.,"[0.10719206929206848, -0.22393006086349487, -0.2673454284667969, 0.15221479535102844, -0.25411927700042725, -0.20963548123836517, 0.012314880266785622, -0.3055746853351593, -0.00794258899986744, -0.4696941077709198, 0.1849111169576645, 0.2323465645313263, -0.4456721842288971, 0.19218650460243225, -0.44673892855644226, 0.3665832281112671]","[0.30153384804725647, -0.2653689980506897, -0.009421709924936295, 0.0260480847209692, 0.08675520122051239, -0.2762349247932434, 0.34091830253601074, -0.10684211552143097, -0.0632561445236206, -0.22185677289962769, -0.14426733553409576, 0.264362096786499, -0.32126590609550476, 0.36057305335998535, -0.053600288927555084, 0.283099502325058]",0,1
A person celebrates after a game.,"[0.6140909194946289, -0.43879541754722595, 0.18497870862483978, -0.006945902481675148, -0.3857729732990265, -0.24492743611335754, 0.15605735778808594, -0.038504570722579956, -0.34313586354255676, -0.48150065541267395, -0.34238481521606445, 0.5736163258552551, -0.41328006982803345, -0.02668639086186886, -0.832099437713623, -0.020224345847964287]","[0.5850692391395569, -0.35289376974105835, -0.09591589868068695, -0.17852360010147095, -0.22995783388614655, -0.26206642389297485, -0.01811075769364834, 0.05756606161594391, -0.19533123075962067, -0.32020196318626404, -0.017735347151756287, 0.15628959238529205, -0.23136134445667267, 0.02480943687260151, -0.9258034229278564, 0.030906917527318]",0,1
A man stands on a pier.,"[0.6699273586273193, -0.5242693424224854, 0.21605388820171356, -0.17700627446174622, 0.012110352516174316, -0.3024738132953644, 0.4854675531387329, -0.11522321403026581, -0.04092578589916229, -0.006270522251725197, -0.2813313603401184, 0.02935956045985222, 0.5028856992721558, -0.04971252381801605, 0.1266878843307495, 0.18969975411891937]","[0.6408592462539673, -0.37526440620422363, -0.5124347805976868, 0.16941048204898834, -0.09444320201873779, -0.5569863319396973, 0.27560967206954956, -0.3170492649078369, -0.12347067892551422, -0.7577206492424011, -0.23460139334201813, 0.2791827321052551, -0.3404439091682434, 0.31976795196533203, -0.6328831911087036, 0.1997452974319458]",0,1
