sentence_pos,sentence_neg,image,label_pos,label_neg
Man opens door for lady, Lady opens door for man,"[-0.13763506710529327, 0.1939467340707779, -0.24466200172901154, -0.4563311040401459, 0.16357648372650146, 0.35786259174346924, 0.12234073132276535, -0.7013764977455139, -0.1503646969795227, -0.05270352214574814, 0.6672552227973938, 0.08600637316703796, 0.3136935830116272, -0.13730579614639282, 0.1476685255765915, 0.9723780155181885, -0.1891026645898819, 0.00928451307117939, -0.04669471085071564, -0.35935908555984497]",0,1
Man follows woman, Woman follows man,"[-0.37242117524147034, -0.2801923155784607, 0.2879774570465088, 8.90493392944336e-05, -0.10569364577531815, -0.03776247054338455, -0.8455850481987, -0.5752596259117126, -0.14290577173233032, -0.9083707332611084, 0.502544105052948, -0.46546486020088196, 0.17011207342147827, -0.031163539737462997, -0.2575817406177521, 0.12231843918561935, -0.5769839882850647, -0.16158653795719147, -0.2823973000049591, -0.22833351790905]",0,1
Elephant follows lion, Lion follows elephant,"[0.019871581345796585, 0.1276407092809677, 0.47512930631637573, -0.1228790432214737, -0.1289014220237732, 0.16911184787750244, -0.17847517132759094, -0.7957927584648132, -0.11159896850585938, -0.9664691686630249, 0.3220715820789337, 0.5151020884513855, 0.06426043808460236, -0.08362437784671783, -0.28238749504089355, 0.8427056074142456, -0.08033756166696548, 0.37695547938346863, 0.33204981684684753, -0.08076754957437515]",0,1
Tourist follows guide, Guide follows tourists,"[0.28520721197128296, -0.31094077229499817, 0.24783392250537872, 0.4839646816253662, -0.4170156419277191, 0.2331840991973877, -0.13389705121517181, -0.6233689188957214, 0.051408275961875916, -0.5009498596191406, 0.3201685845851898, -0.05601498484611511, -0.12203437089920044, -0.6335811614990234, -0.3192470669746399, 0.17963744699954987, -0.4736080765724182, -0.527160108089447, -0.21885648369789124, -0.19275809824466705]",0,1
Dog follows man, Man follows dog,"[0.03594216704368591, 0.2060069590806961, 0.563679039478302, -0.004433788359165192, -0.5042719841003418, 0.8672845959663391, -0.34790417551994324, -0.7055183053016663, -0.21354103088378906, -0.2536296248435974, 0.477483868598938, -0.07650721818208694, 0.01239895448088646, -0.1302901655435562, -0.32716530561447144, 0.34531542658805847, -0.43570560216903687, -0.26173272728919983, 0.1313696652650833, -0.312905877828598]",0,1
Man follows dog, Dog follows man,"[0.44861552119255066, -0.026657622307538986, 0.6816844344139099, 0.13104330003261566, -0.7441507577896118, 0.57994145154953, -0.16934363543987274, -0.5737116932868958, -0.4278993308544159, -0.7615095973014832, 0.3997497856616974, 0.33614516258239746, 0.031180765479803085, -0.07104139029979706, -0.09571817517280579, 0.30711743235588074, -0.2866000533103943, -0.04258188605308533, 0.24320511519908905, -0.2681622803211212]",0,1
Child follows parent, Parent follows child,"[-0.06680166721343994, -0.18471617996692657, 0.47970515489578247, 0.16107328236103058, -0.6702491044998169, 0.3220163881778717, -0.4527166783809662, -0.38682669401168823, -0.10969045758247375, -0.6869311928749084, 0.43107709288597107, -0.37266796827316284, 0.13451498746871948, -0.32916221022605896, 0.020247269421815872, -0.17465901374816895, -0.5528870820999146, -0.4188477098941803, 0.18506406247615814, -0.08365511149168015]",0,1
Parent follows child, Child follows parent,"[0.011270498856902122, -0.16054224967956543, 0.7060821652412415, 0.08109131455421448, -0.14610996842384338, 0.34423160552978516, -0.5240998268127441, -0.5940701365470886, -0.17180827260017395, -0.6070142388343811, 0.48594799637794495, 0.043300777673721313, -0.24132192134857178, -0.47260868549346924, -0.5373555421829224, 0.33734068274497986, -0.4289780259132385, -0.12008392810821533, 0.40094754099845886, -0.32836857438087463]",0,1
Father follows son, Son follows father,"[0.2581463158130646, -0.013011074624955654, 0.4719730615615845, -0.16307376325130463, 0.21356016397476196, 0.44190096855163574, -0.3871435225009918, -0.7979916930198669, 0.0010195588693022728, -0.6562197804450989, 0.5513074994087219, 0.2508181929588318, -0.20682160556316376, -0.49898502230644226, -0.7878994941711426, 0.38190120458602905, -0.344803124666214, -0.14997529983520508, 0.49227896332740784, -0.10173837095499039]",0,1
Child follows man, Man follows child,"[-0.1124824732542038, -0.46847304701805115, 0.31399771571159363, 0.2845474183559418, -0.5943872332572937, 0.746993362903595, -0.9398570656776428, -0.8723596930503845, 0.3530789613723755, -0.49939560890197754, 0.4345894455909729, -0.3396160304546356, -0.33988097310066223, -0.3993516266345978, -0.4510040283203125, 0.450164794921875, -0.18007734417915344, -0.30633217096328735, -0.6928993463516235, 0.02846580184996128]",0,1
Dog follows man, Man follows dog,"[0.29607823491096497, -0.3261532485485077, 0.37627947330474854, -0.08425208926200867, -0.388245552778244, 0.5109022259712219, -0.5879867076873779, -0.5653619170188904, -0.14550864696502686, -0.16867931187152863, 0.8191846013069153, -0.29042303562164307, 0.4034790098667145, -0.21363592147827148, -0.10020695626735687, 0.6800291538238525, -0.5908623337745667, 0.03037339635193348, 0.4521101415157318, -0.6421335935592651]",0,1
Dog runs towards man, Man runs towards dog,"[0.11623711884021759, 0.136121928691864, 1.0253885984420776, -0.24950578808784485, -0.5451244115829468, 0.3630226254463196, -0.40153148770332336, -1.0142680406570435, 0.23540589213371277, -0.5435717701911926, 0.5083081126213074, -0.11149828881025314, -0.23643311858177185, -0.1510341316461563, -0.2904495596885681, 0.6400339603424072, -0.8706604242324829, 0.04660329222679138, 0.4672757685184479, -0.2056172788143158]",0,1
Man runs towards dog, Dog runs towards man,"[0.27054986357688904, 0.012547344900667667, 0.705314040184021, -0.08039219677448273, -0.5544239282608032, 0.3263585567474365, -0.2595682442188263, -0.5184395909309387, 0.23438231647014618, -0.12002923339605331, 0.47216325998306274, -0.11864840984344482, 0.027390670031309128, -0.1907399445772171, -0.1635666787624359, 0.6411511301994324, -0.2796294391155243, -0.06110545992851257, 0.39126333594322205, -0.5061959624290466]",0,1
Athlete runs towards coach, Coach runs towards athlete,"[-0.2543697655200958, 0.2330477237701416, 0.7799777388572693, -0.0007469542324542999, -0.5626266598701477, 0.5139448642730713, -0.4790486991405487, -0.5847784876823425, -0.283357709646225, -0.2288687825202942, 0.6681936979293823, -0.22232532501220703, 0.20648729801177979, -0.6903116703033447, -0.005122847855091095, 0.3362870514392853, -0.5380451679229736, -0.17185883224010468, 0.12562696635723114, 0.04731485992670059]",0,1
Woman opens door for children, Children open door for woman,"[0.25997844338417053, -0.1680409014225006, 0.1024642288684845, 0.23833642899990082, -0.3858230710029602, -0.05699915438890457, -0.45097339153289795, -0.4893474280834198, 0.0671578049659729, -0.5907539129257202, 0.43275853991508484, -0.14992539584636688, -0.08257800340652466, -0.31119465827941895, -0.5316250324249268, 0.2655554711818695, -0.37033867835998535, -0.03348647058010101, 0.1341836154460907, 0.18486492335796356]",0,1
Man punches woman, Woman punches man,"[0.2000516802072525, 0.23582354187965393, 0.06696514785289764, 0.11832179129123688, 0.2165510058403015, -0.031565941870212555, -0.09305299818515778, -0.4619921147823334, -0.2615419328212738, -0.7125865817070007, 0.3422134220600128, 0.2185630202293396, 0.21757683157920837, -0.16603031754493713, -0.33404314517974854, 0.3832569420337677, -0.820730984210968, -0.022435007616877556, -0.027801426127552986, -0.3864807188510895]",0,1
Woman punches man, Man punches woman,"[-0.1263188272714615, 0.12504877150058746, 0.26572805643081665, -0.07906822860240936, -0.0979606881737709, 0.21284160017967224, -0.49249616265296936, -0.5977650284767151, -0.0856880247592926, -0.8502877950668335, 0.6105228662490845, 0.09802019596099854, -0.06251943111419678, -0.46454355120658875, -0.18910981714725494, 0.5034320950508118, -0.7772228121757507, -0.44980284571647644, -0.09803285449743271, -0.11692341417074203]",0,1
Daughter runs towards mother, Mother runs towards daughter,"[-0.0879954844713211, 0.10979454219341278, 0.3601168394088745, -0.14836835861206055, -0.26550552248954773, 0.22844848036766052, -0.21799679100513458, -0.6413891911506653, 0.20580452680587769, -0.5210305452346802, 0.48863422870635986, 0.01380104385316372, -0.26234880089759827, -0.25746724009513855, -0.33865833282470703, 0.41159743070602417, -0.4030005633831024, -0.45261216163635254, 0.1686963587999344, -0.1414427012205124]",0,1
Boy runs towards grandmother, Grandmother runs towards boy,"[0.3594140112400055, -0.1331891268491745, 0.37142765522003174, 0.17797453701496124, -0.10457228869199753, 0.20762431621551514, -0.16645453870296478, -0.7353383898735046, -0.4115068316459656, -0.3911260962486267, 0.4510261118412018, 0.03510783612728119, -0.2675551176071167, -0.4772507846355438, -0.8863131403923035, 0.591885507106781, -0.4498009979724884, 0.03478173911571503, 0.3416653275489807, -0.12120268493890762]",0,1
Reporter smiles at man, Man smiles at reporter,"[0.22722406685352325, 0.011215434409677982, 0.4252012372016907, 0.3633894622325897, -0.42343834042549133, 0.5819132924079895, -0.4091683328151703, -0.29913148283958435, 0.09477607905864716, -0.8320806622505188, 0.26929786801338196, 0.36369839310646057, -0.07444590330123901, -0.4092998504638672, -0.4508395195007324, 0.25967320799827576, -0.8082860708236694, -0.28177154064178467, -0.18442830443382263, -0.2566658556461334]",0,1
Teacher smiles at student, Student smiles at teacher,"[-0.15006417036056519, -0.03183436393737793, -0.053112756460905075, 0.37691614031791687, -0.12310481816530228, 0.5802523493766785, -0.12056110054254532, -0.37996363639831543, 0.00034972187131643295, -0.846768319606781, 0.5128013491630554, 0.3344326615333557, -0.08615052700042725, -0.38312390446662903, -0.6890122890472412, 0.9328324794769287, -0.7617191672325134, -0.07406094670295715, -0.12735231220722198, -0.3491382896900177]",0,1
Doctor smiles at patient, Patient smiles at doctor,"[-0.007354972884058952, 0.12831826508045197, 0.2970530390739441, 0.2529071271419525, -0.07257730513811111, 0.08378341794013977, -0.28296902775764465, -0.3434979021549225, -0.10176689922809601, -0.8580247759819031, 0.5556065440177917, 0.2045782208442688, 0.15036968886852264, -0.49742773175239563, -0.8197043538093567, 0.3585910499095917, -0.7823166847229004, -0.05347844958305359, -0.081105537712574, -0.27710267901420593]",0,1
Young boy opens door for woman, Woman opens door for young boy,"[0.4479089677333832, -0.5283463001251221, 0.4931279420852661, 0.034626636654138565, -0.3800388276576996, -0.23655739426612854, -0.5141496658325195, -0.4268805682659149, -0.18390440940856934, -0.24884115159511566, 0.2483154684305191, 0.3173087239265442, 0.027279537171125412, 0.038672853261232376, -0.5539343357086182, 0.8786492943763733, -0.213889017701149, 0.07128772139549255, 0.34879574179649353, -0.1510980725288391]",0,1
Woman opens door for man, Man opens door for woman,"[-0.09380420297384262, 0.15552225708961487, 0.09531867504119873, 0.2018965631723404, -0.019988752901554108, 0.06537079811096191, -0.24158938229084015, -0.1785268485546112, -0.13974685966968536, -0.42967069149017334, 0.33957281708717346, -0.009740294888615608, 0.07753992080688477, -0.37642261385917664, -0.21812912821769714, 0.5247238874435425, -0.21020478010177612, -0.04711201786994934, -0.05742623656988144, -0.07559172064065933]",0,1
Woman helps man, Man helps woman,"[0.0658637136220932, 0.15342022478580475, 0.6308505535125732, 0.46922066807746887, -0.18269920349121094, 0.4953802227973938, -0.099151112139225, -0.552828848361969, -0.43658941984176636, -0.8125469088554382, 0.21560852229595184, 0.20912256836891174, 0.06443652510643005, -0.43952205777168274, -0.09984330832958221, 0.646665096282959, -0.3133479058742523, 0.056481629610061646, -0.2625230848789215, -0.37022173404693604]",0,1
Girl helps boy, Boy helps girl,"[0.26421451568603516, -0.19715671241283417, 0.17180044949054718, 0.016674254089593887, 0.2873747646808624, 0.1707381010055542, -0.332909494638443, -0.7322276830673218, -0.07549186050891876, -0.6993243098258972, 0.5500066876411438, 0.3052564263343811, -0.2316121906042099, -0.21119660139083862, -0.42373472452163696, 0.7638357877731323, -0.14868614077568054, 0.014437051489949226, 0.3459562361240387, -0.2717299461364746]",0,1
Woman helps old lady cross the street, Old lady helps woman cross the street,"[0.07811300456523895, -0.059748753905296326, 0.26096686720848083, 0.09115490317344666, -0.4740796685218811, -0.019770152866840363, -0.7081366777420044, -0.3816398084163666, 0.11712378263473511, -0.37858566641807556, 0.3104812800884247, 0.10820934176445007, -0.09180644154548645, -0.42902567982673645, -0.6725776791572571, 0.2009560763835907, -0.32759061455726624, -0.19241216778755188, 0.21808801591396332, -0.19591151177883148]",0,1
People help boy climb mountain, Boy helps people climb mountain,"[0.33584094047546387, -0.15898816287517548, 0.3515922427177429, 0.006859887391328812, -0.16862240433692932, 0.026443563401699066, -0.8724414110183716, -0.7263301014900208, -0.24816454946994781, -1.1984883546829224, 0.5286028385162354, -0.1110985204577446, -0.2806335389614105, 0.2444579154253006, 0.3162761330604553, 0.3516100347042084, -0.716433048248291, -0.18165355920791626, 0.17509333789348602, -0.5330500602722168]",0,1
Woman helps man, Man helps woman,"[0.29564085602760315, 0.27298879623413086, 0.8492146134376526, 0.3242509067058563, -0.4491857588291168, 0.10574562102556229, -0.761294960975647, -0.8367115259170532, -0.1109781414270401, -0.6556224226951599, 0.4824492037296295, -0.15391132235527039, -0.26264286041259766, -0.08623680472373962, -0.6052737236022949, 0.5142325162887573, -0.45997685194015503, -0.32409071922302246, 0.2997455894947052, -0.035393692553043365]",0,1
Parents run after child, Child runs after parents,"[-0.313932329416275, -0.162677600979805, 0.34351539611816406, 0.15227508544921875, -0.13443422317504883, 0.12204379588365555, -0.3500271439552307, -0.308501273393631, -0.1700522005558014, -0.5185813903808594, 0.7025952339172363, -0.01771491952240467, 0.09313800930976868, 0.01407434418797493, -0.24435865879058838, 0.25260549783706665, -0.43449071049690247, -0.010975534096360207, 0.5212042331695557, -0.486770898103714]",0,1
Woman helps man with his tie, Man helps woman with her tie,"[0.04824896156787872, -0.08664627373218536, -0.06122105196118355, 0.07015545666217804, -0.18367454409599304, -0.04024616628885269, -0.135074183344841, -0.48362377285957336, 0.029417216777801514, -0.47747141122817993, 0.11473052948713303, -0.03666362166404724, -0.26948535442352295, -0.17366662621498108, -0.27505701780319214, 0.5422338843345642, -0.6432461142539978, -0.02735026739537716, -0.5656954646110535, -0.12482375651597977]",0,1
Man opens door for woman, Woman opens door for man,"[-0.04420681297779083, 0.38645312190055847, 0.1857956200838089, -0.2178216576576233, -0.020427025854587555, 0.4833020567893982, -0.06980308145284653, -0.6521878838539124, 0.2508496940135956, -0.39299511909484863, 0.5758607983589172, 0.1638702154159546, -0.024586770683526993, -0.2878827452659607, -0.020805753767490387, 0.6358333826065063, -0.4646313190460205, 0.014553295448422432, -0.031687818467617035, -0.2806178033351898]",0,1
Teacher shouts at child, Child shouts at teacher,"[-0.3074353039264679, -0.052950188517570496, 0.24697329103946686, 0.1445377767086029, -0.046064458787441254, 0.6138517260551453, -0.20382463932037354, -0.768181324005127, -0.11170639097690582, -0.5349678993225098, 0.48993369936943054, 0.1568780243396759, 0.22901670634746552, -0.42866596579551697, -0.467853844165802, 0.8237506151199341, -0.17547167837619781, 0.1754818707704544, -0.2634107172489166, -0.6750891208648682]",0,1
Woman shouts at man, Man shouts at woman,"[-0.22690635919570923, 0.10917197167873383, 0.12780819833278656, 0.14328742027282715, 0.0017660632729530334, 0.313358873128891, 0.2320987433195114, -0.547724187374115, -0.469046026468277, -0.7879735231399536, 0.6883761286735535, -0.028164589777588844, 0.19008669257164001, -0.514796793460846, -0.46871405839920044, 0.3625745475292206, -0.5484111905097961, -0.31974077224731445, 0.11764249950647354, -0.3888004422187805]",0,1
Man shouts at woman, Woman shouts at man,"[0.003459664061665535, 0.22307826578617096, 0.009233076125383377, -0.11367389559745789, 0.006000526249408722, -0.10954456776380539, -0.17528672516345978, -0.5725423693656921, -0.018982671201229095, -0.6521301865577698, 0.487025648355484, 0.16982124745845795, -0.171706885099411, -0.2036733478307724, -0.396575391292572, 0.37628963589668274, -0.5363179445266724, 0.014500023797154427, -0.09997240453958511, -0.3944338858127594]",0,1
Woman shouts at policeman, Policeman shouts at woman,"[0.024060623720288277, -0.0637899711728096, 0.48206642270088196, -0.03192528709769249, -0.12868645787239075, 0.08405477553606033, -0.27622655034065247, -0.7685015797615051, -0.46198758482933044, -0.43282559514045715, 0.44492611289024353, 0.2006416618824005, 0.14478011429309845, -0.4191785156726837, -0.16546876728534698, 0.6469369530677795, -0.4174342453479767, -0.16763748228549957, 0.26188769936561584, -0.205681711435318]",0,1
Brother shouts at sister, Sister shouts at brother,"[0.19179540872573853, 0.23028768599033356, 0.14011895656585693, 0.010261479765176773, -0.11709346622228622, -0.011404536664485931, -0.3221418559551239, -0.9959682822227478, 0.003568696789443493, -0.6008646488189697, 0.5352228283882141, 0.47714993357658386, -0.33664050698280334, -0.1131172627210617, -0.40196549892425537, 0.818606972694397, -0.22033797204494476, -0.08504336327314377, -0.12617084383964539, -0.237165629863739]",0,1
Woman shouts at dog, Dog shouts at woman,"[0.08516724407672882, 0.3880212604999542, 0.1744367480278015, 0.21244552731513977, -0.42240431904792786, 0.008188389241695404, 0.12303166836500168, -0.5701310038566589, -0.30548936128616333, -0.7149389386177063, 1.0420945882797241, 0.31772953271865845, 0.11118876934051514, -1.0009580850601196, -0.48877930641174316, 0.3412288725376129, -0.49447140097618103, 0.12220054864883423, -0.03644362837076187, -0.34337374567985535]",0,1
Mother holds crying son, Son holds crying mother,"[0.05959339439868927, 0.11655409634113312, 0.2986316680908203, 0.17591728270053864, -0.33534935116767883, 0.22752243280410767, -0.32628336548805237, -0.15030543506145477, 0.3712017834186554, -0.52447110414505, -0.010221710428595543, 0.06246398389339447, -0.3046392500400543, -0.31009215116500854, -0.6330263614654541, 0.3071601688861847, -0.48813843727111816, -0.10358178615570068, -0.1590249389410019, -0.33604541420936584]",0,1
